thermax,थरमैक्स
sikhaaega,सिखाएगा
learn,लर्न
twitters,ट्विटर्स
tirunelveli,तिरुनेलवेली
independence,इंडिपेंडेंस
speshiyon,स्पेशियों
shurooh,शुरूः
kolhapur,कोल्हापुर
ajhar,अजहर
karaar,क़रार
anka,अंक
wpd,डब्ल्यूपीडी
haashie,हाशिए
glendale,ग्लेंडल
udhed,उधेड़
ekthi,इकठ्ठी
idea,आईडिया
ambikapur,अम्बिकापुर
makerere,माकेरेरे
saboodaane,साबूदाने
foohadta,फूहड़ता
sequent,सेक्वेंट
shueb,शुऐब
panihati,पानीहाटी
sametati,समेटती
ukhrul,उखरुल
brahmlin,ब्रह्मलीन
utaraadhikaaree,उतराधिकारी
iqbal,इक़बाल
dayaalapuraa,दयालपुरा
sohrai,सोहराई
takreeban,तक़रीबन
farrukhnagar,फर्रूखनगर
theinga,ठेंगा
tyoiharon,त्यौहारों
karneshvardhaam,कर्णेश्वरधाम
umanath,उमानाथ
daanshil,दानशील
saahityotsav,साहित्योत्सव
shantiniketan,शांतिनिकेतन
shikayatkarta,शिकायतकर्ता
andarkhane,अंदरखाने
panter,पंटर
leedaron,लीडरों
galgand,गलगंड
kaarniyaan,कार्नियां
murgipaalan,मुर्गीपालन
mushahid,मुशाहिद
modules,मॉड्यूल्स
rajouri,रजौरी
sushrushaa,सुश्रुषा
shringaar,शृंगार
holt,होल्ट
laigikata,लैंगिकता
ijaajat,इजाजत
vankshetra,वनक्षेत्र
bhutal,भूतल
swaadpremiyon,स्वादप्रेमियों
nineteez,नाइनटीज
frektar,फ्रेक्टर
likhkar,लिखकर
eyarkandeeshnar,एयरकंडीशनर
nabz,नब्ज़
quess,कुएस
bouni,बौनी
kaaragujaariyaan,कारगुजारियां
gaangnam,गांगनाम
tapia,तापीया
tezpur,तेज़पुर
talve,तलवे
seemaai,सीमाई
darshnaarthi,दर्शनार्थी
rivas,रिवास
tarkvaad,तर्कवाद
anusaarakaa,अनुसारका
coachella,कोचेला
latakakar,लटककर
patravaliyan,पत्रावलियां
parishad,परिषद
spinj,स्पिन्ज
anshida,अनशिदा
dejesus,डिजीसस
saraaymohiuddinpur,सरायमोहिउद्दीनपुर
lowell,लॉवेल
capacitor,कैपेसिटर
passengerjind,पैसेंजरजींद
granthiyon,ग्रंथियों
buena,बुएना
canterbury,कैंटरबरी
kaathiyavadi,काठियावड़ी
tekchandani,टेकचंदानी
fisad,फ़ीसद
beraharamee,बेरहरमी
nishkarshah,निष्कर्षः
activities,ऐक्टिविटीज
rikailleebreshan,रिकैलीब्रेशन
shasanadhikaariyon,शासनाधिकारियों
fijoolkharchi,फिजूलखर्ची
dablyoopeedee,डब्ल्यूपीडी
pace,पेस
dastar,दस्तार
catlin,कैटलिन
joddta,जोड़ता
killat,किल्लत
gruhnagar,गृहनगर
wonder,वंडर
vatar,वाटर
shving,श्विंग
pashtun,पश्तून
farm,फार्म
dibanu,डिबनू
pashchamee,पश्चमी
uthapatak,उठापटक
nilaabh,नीलाभ
laxmeeniyaan,लक्ष्मीनियां
mahaanagarawaasiyon,महानगरवासियों
upneta,उपनेता
convention,कन्वेंशन
sharp,शाॅर्प
kaaryayojana,कार्ययोजना
maas,मास
westing,वेस्टिंग
kurvetee,कुर्वेती
jyaada,ज़यादा
mukeshvari,मुकेश्वरी
shrimati,श्रीमति
vivekadhikaron,विवेकाधिकारों
loksabhavalee,लोकसभावाली
kabahaa,कबहा
bhraantiyon,भ्रांतियों
vivekahin,विवेकहीन
balmiki,बाल्मीकि
haryana,हरयाणा
jivraj,जीवराज
flynn,फ्लिन
rana,राणा
vishnupura,विष्णुपुरा
ghotaalebaajon,घोटालेबाजों
hairatangenz,हैरतअंगेज़
takaleephadeh,तकलीफ़देह
peepaadh,पीपाड़
dhabhaashaaraa,धभाशारा
antdiyan,अंतडियां
robin,राबिन
singar,सिंगार
gumshudagi,गुमशुदगी
balkrishna,बालकृष्ण
phabti,फब्ती
palatne,पलटने
lahlahaati,लहलहाती
nagaada,नगाड़ा
udanen,उड़ानें
klein,क्लेन
juloos,जूलूस
karyabhar,कार्यभार
manto,मंटो
paimaish,पैमाइश
covina,कोविना
penshan,पेंषन
ogastaavestalaind,ऑगस्टावेस्टलैंड
centreeng,सैंट्रींग
activa,ऐक्टिवा
barker,बार्कर
valkan,वल्कन
vruton,वृत्तों
kabaddi,कबड्डी
raunakh,रौनक़
caitlyn,कैटलिन
phoos,फूस
jangadnaa,जनगणना
upakhyaanon,उपाख्यानों
sundram,सुंदरम
cochin,कोचीन
neko,नेको
kaushal,कौशल
phaliya,फालिया
acevedo,एस्वेडो
kottayam,कोट्टयम
dilaaega,दिलाएगा
kurvi,कर्वी
saunpengi,सौंपेंगी
lekhan,लेख़न
gudepu,गुडेपु
pharase,फरसे
nubiya,नूबिया
taja,ताजा
aantrit,आंत्रित
qazi,काजी
murgipalan,मुर्गीपालन
eddy,एड्डी
nagine,नगीने
subha,सुब्हा
luis,लुइस
vijayapuram,विजयापुरम
bataao,बताअाे
ochoa,ओकोआ
science,साइंस
sarkarein,सरकारें
bremerton,ब्रेमटन
gurupado,गुरुपदो
sanyukt,संयुक्त
raalod,रालोद
baadhaon,बाधाओं
gaumutra,गौमूत्र
sabhaen,सभाएं
tani,तनी
delhi,दिल्ली
suken,सुजेन
vineet,विनीत
chimate,चिमाते
kikiyana,किकियाना
rocket,रॊकेट
maxwell,मैक्सवेल
hippo,हिप्पो
deepan,दीपन
arymaa,अर्यमा
bhulata,भूलता
karmaacharee,कर्माचारी
durgapur,दुर्गापुर
tribhaashaa,त्रिभाषा
soodkhoron,सूदखोरों
prastaavon,प्रस्तावों
survin,सुरवीन
prapti,प्राप्ती
girivaasiyon,गिरिवासियों
siducing,सिडयूसिंग
welwet,वेलवेट
muqarrar,मुक़र्रर
baxter,बैक्सटर
denier,डेनिअर
cw,सीडब्ल्यू
uthani,उठनी
ghasi,घासी
ikattha,इकट्ठा
bhupsingh,भूपसिंह
dabochne,दबोचने
crosby,क्रॉस्बी
naameegiraamee,नामीगिरामी
hurley,हर्ले
jarda,जर्दा
liepradhanmantri,लिएप्रधानमंत्री
bhranti,भ्रांति
agencyyon,ऐजेंसियों
bago,बागो
forcee,फारसी
bosaan,बोसान
karki,कार्की
ginate,गिनते
manokaamnaaon,मनोकामनाओं
sammpattiyaan,संम्पत्तियां
politheenon,पॉलिथीनों
mtake,एमटेक
parichar,परिचर
badabadee,बडबडी
crane,क्रेन
laamiyaan,लामियां
ulhasnagar,उल्हासनगर
prabhanmantri,प्रभानमंत्री
shiwalapurwa,शिवालापुरवा
ferth,फर्थ
suhagin,सुहागिन
saraikela,सरायकेला
romeoville,रोमियोविल
raajsthanvasiyon,राजस्थानवासियों
pratirodhaatmak,प्रतिरोधात्मक
svarnikaa,स्वर्णिका
vyavasthapana,व्यवस्थापना
tel,तेल
galatfahmi,ग़लतफ़हमी
takeinsider,टेकइनसाइडर
microfiber,माइक्रोफाइबर
shreemahapoorn,श्रीमहापूर्ण
fallujaa,फ़ल्लूजा
donaldson,डोनल्डसन
chadhne,चढ़ने
jeevvigyaaniyon,जीवविज्ञानियों
cricketing,क्रिकेटिंग
reduction,रिडक्शन
awaazen,आवाज़ें
wlaad,व्लाद
prathmik,प्राथमिक
thenga,ठेंगा
excel,एक्सेल
chatakaate,चटकाते
kubuddin,कुबुद्दीन
taaza,ताजा
padani,पड़नी
nichaai,नीचाई
wausau,वौसौ
aalochakon,आलोचकों
jaljale,ज़लज़ले
surat,सूरत
